year,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
2020,Trevon Grimes,61565,WR,FLORIDA,11,13.5,5,64.4,33.3,6,18,0,5,2,28,163,0,77.6,73.2,70.8,,70.7,0.3,1,0,50,0,0,334,1,38,94,314,24.6,82,136.9,59,9,75.1,251,589,203,5.3,15.5,1.88
2020,Simi Fehoko,84424,WR,STANFORD,6,12.6,4,62.7,53.8,7,13,0,14,6,26,300,0,50.6,73,75.8,62.6,75.6,0,0,1,47,0.5,1,221,1,37,95,210,30.3,67,104.8,59,3,69.7,154,574,198,5.4,15.5,2.73
2020,Jadan Blue,61705,WR,TEMPLE,6,8.2,2,71.2,57.1,4,7,0,6.7,3,20,306,0,66.6,76,69.6,61.2,70.4,0.9,2,4,35,0.4,1,233,2,42,94.8,221,86.7,202,87.5,59,5,11.6,27,370,167,4,8.8,1.67
2020,Javon McKinley,41248,WR,NOTRE DAME,12,13,0,71.2,64.3,9,14,0,4.5,2,30,258,0,72.6,73.5,76.1,,73.4,0,0,0,53,0,0,387,1,42,95.1,368,17.3,67,129,59,3,82.7,320,717,212,5,17.1,1.95
2020,Jalen Cropper,97273,WR,FRESNO ST,6,9.4,7,63.8,40,2,5,0,11.9,5,28,169,1,55.8,27.5,73.9,,72.5,0.4,1,1,59,0,0,242,0,37,95,230,90.9,220,114.2,58,5,8.7,21,520,221,6,14.1,2.26
2020,Malik Heath,124173,WR,MISS STATE,10,7.4,6,63.8,27.3,3,11,2,5.1,2,15,227,0,76.2,72.6,55.3,,56.5,0,0,0,32,0,0,358,5,37,98,351,0.8,3,94.5,58,3,99.2,355,307,155,4.2,8.3,0.87
2020,Parker Washington,129799,WR,PENN STATE,9,11.3,7,62.1,38.5,5,13,0,7.7,3,25,266,0,68.5,74.9,66.7,,68.7,0,0,1,49,0,0,337,0,36,93.8,316,97.6,329,116.2,58,6,2.4,8,489,153,4.3,13.6,1.55
2020,Bailey Gaither,47904,WR,S JOSE ST,7,13.5,2,70.7,33.3,2,6,0,6.8,3,23,285,0,71.5,79.7,78,,77.5,0,0,1,69,0,0,246,1,41,93.9,231,6.5,16,128.9,58,4,93.5,230,725,270,6.6,17.7,3.14
2020,Justin Garrett,84486,WR,UTEP,8,12.4,4,67.2,53.8,7,13,0,2.5,1,24,330,0,84.2,77.7,72.7,,74.7,0.4,1,2,38,0,0,254,2,39,92.9,236,16.9,43,97.8,58,3,82.7,210,513,134,3.4,13.2,2.17
2020,Thayer Thomas,61515,WR,NC STATE,12,10.7,3,72.4,66.7,8,12,0,4.5,2,28,248,0,78.9,81.5,74.5,,77.2,0,0,1,37,0,0,280,1,42,91.1,255,87.1,244,127.7,58,6,12.5,35,529,163,3.9,12.6,2.07
2020,Tayvion Robinson,99693,WR,VA TECH,11,10,9,65.5,41.7,5,12,0,2.6,1,21,337,1,84.7,59.3,70.8,,72.9,0,0,1,60,0,0,308,0,38,91.9,283,35.4,109,109.3,58,3,64.6,199,592,289,7.6,15.6,2.09
2020,Travis Etienne Jr.,57185,HB,CLEMSON,12,0.6,13,82.8,100,1,1,0,4,2,29,140,0,81.3,74.9,82,42.8,90.9,0.3,1,0,46,20.8,70,337,1,48,77.2,260,3.6,12,120.4,58,2,3.6,12,588,646,13.5,12.3,2.26
2020,Garrett Wilson,97405,WR,OHIO STATE,8,13.4,6,74.1,33.3,3,9,0,8.5,4,32,260,0,66.4,82.2,81,,82.9,0,0,2,65,0,0,256,5,43,93,238,73.4,188,135.9,58,6,26.6,68,723,194,4.5,16.8,3.04
