player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
George Pickens,99229,WR,PIT,5,13.6,1,56.4,18.2,2,11,1,0.0,0,14,25,1,84.9,25.6,73.5,,74.5,0.0,0,1,71,0.0,0,183,3,22,95.6,175,12.0,22,97.5,39,2,88.0,161,393,138,6.3,17.9,2.25
Tyler Boyd,10689,WR,CIN,6,5.7,3,76.9,33.3,2,6,0,3.2,1,9,7,0,77.8,76.6,62.1,66.2,61.1,0.0,0,1,14,0.4,1,242,1,30,95.9,232,90.1,218,85.8,39,1,9.9,24,204,90,3.0,6.8,0.88
Josh Downs,122832,WR,IND,6,6.8,2,73.7,60.0,3,5,0,0.0,0,12,14,0,88.3,76.8,68.7,,68.9,0.0,0,0,38,0.0,0,215,0,28,94.0,202,84.7,182,102.5,38,1,15.3,33,276,120,4.3,9.9,1.37
Zach Ertz,7816,TE,ARZ,6,7.1,0,63.2,42.9,3,7,0,11.1,3,7,1,0,41.6,75.3,52.0,29.4,52.6,31.1,56,2,17,1.7,3,180,0,24,92.2,166,57.8,104,60.0,38,1,11.1,20,168,47,2.0,7.0,1.01
Brandon Aiyuk,84109,WR,SF,5,15.1,2,69.4,40.0,2,5,0,3.8,1,22,28,0,64.1,75.7,92.2,69.0,92.1,0.0,0,1,42,0.7,1,137,0,25,90.5,124,21.9,30,119.0,36,2,78.1,107,454,107,4.3,18.2,3.66
Dallas Goedert,47272,TE,PHI,6,5.6,7,72.2,50.0,2,4,0,7.1,2,14,24,0,65.2,75.9,67.2,78.2,61.5,36.2,85,2,49,3.8,9,235,2,26,91.9,216,53.2,125,77.0,36,1,10.2,24,247,120,4.6,9.5,1.14
Kyle Pitts,83964,TE,ATL,6,11.9,0,61.1,36.4,4,11,0,0.0,0,13,2,0,84.9,75.1,67.2,69.6,71.4,13.3,26,1,34,1.0,2,195,1,22,94.9,185,61.5,120,79.7,36,1,25.1,49,251,41,1.9,11.4,1.36
Chris Godwin,11839,WR,TB,5,10.0,2,75.0,85.7,6,7,0,0.0,0,19,30,0,87.3,76.5,81.0,,82.1,0.0,0,2,42,0.0,0,170,0,27,94.1,160,30.6,52,79.9,36,0,69.4,118,332,125,4.6,12.3,2.08
Romeo Doubs,84329,WR,GB,5,11.6,0,60.0,44.4,4,9,0,4.5,1,14,12,0,71.3,74.6,72.2,,70.9,0.0,0,3,30,0.0,0,163,0,21,94.5,154,17.8,29,72.1,35,3,82.2,134,228,44,2.1,10.9,1.48
Amari Cooper,9437,WR,CLV,5,15.7,0,62.9,87.5,7,8,0,0.0,0,16,8,1,72.3,74.9,75.8,,75.1,0.0,0,2,58,0.0,0,184,1,22,92.9,171,22.8,42,83.9,35,1,76.6,141,367,66,3.0,16.7,2.15
Jaylen Waddle,84088,WR,MIA,5,9.5,1,68.6,33.3,2,6,0,7.7,2,16,17,0,63.2,75.8,80.4,,79.5,0.0,0,2,35,0.0,0,151,0,24,96.0,145,26.5,40,89.7,35,2,72.2,109,296,151,6.3,12.3,2.04
Courtland Sutton,48164,WR,DEN,6,10.7,1,71.4,62.5,5,8,0,7.4,2,13,10,2,64.1,19.3,69.3,,68.2,0.5,1,1,25,0.0,0,216,1,25,93.1,201,24.5,53,120.5,35,4,75.0,162,275,60,2.4,11.0,1.37
CeeDee Lamb,61570,WR,DAL,5,8.8,4,77.1,33.3,1,3,0,3.6,1,15,9,1,76.1,27.3,71.9,,75.0,0.0,0,0,49,0.0,0,171,2,27,94.2,161,70.8,121,118.5,35,1,28.1,48,358,143,5.3,13.3,2.22
Tyler Lockett,9502,WR,SEA,5,12.9,1,67.6,40.0,2,5,0,4.2,1,13,29,0,74.2,75.5,74.5,,74.1,0.0,0,0,36,0.0,0,180,0,23,91.1,164,37.2,67,108.8,34,2,62.8,113,251,59,2.6,10.9,1.53
Mark Andrews,47436,TE,BLT,5,8.4,5,70.6,50.0,3,6,0,14.3,4,15,3,0,41.6,75.6,71.1,71.0,72.1,11.7,21,0,38,3.9,7,180,0,24,92.2,166,81.7,147,126.3,34,3,6.1,11,294,104,4.3,12.3,1.77
Tee Higgins,61211,WR,CIN,5,12.0,1,41.2,18.2,2,11,1,17.6,3,9,7,0,38.1,73.0,57.3,,56.2,0.0,0,1,20,0.0,0,167,2,14,95.2,159,18.0,30,62.0,34,2,82.0,137,149,58,4.1,10.6,0.94
Dalton Schultz,47304,TE,HST,6,8.2,3,63.6,33.3,1,3,0,12.5,3,11,13,0,47.8,74.6,63.2,65.3,60.7,43.7,83,1,31,7.4,14,190,0,21,88.4,168,43.7,83,99.9,33,3,9.5,18,215,78,3.7,10.2,1.28
Elijah Moore,84302,WR,CLV,5,8.0,2,63.6,25.0,1,4,0,0.0,0,7,8,1,84.1,27.7,58.6,0.0,60.7,0.0,0,1,33,0.5,1,184,0,21,92.9,171,53.8,99,63.6,33,0,38.6,71,167,68,3.2,8.0,0.98
Jonnu Smith,11855,TE,ATL,6,7.4,6,78.1,100.0,3,3,1,7.4,2,14,2,1,63.2,25.9,61.4,82.8,66.6,25.9,45,1,33,10.3,18,174,3,25,84.5,147,58.6,102,100.8,32,1,11.5,20,282,141,5.6,11.3,1.92
Cole Kmet,60995,TE,CHI,6,6.3,2,78.1,0.0,0,3,0,0.0,0,14,6,1,85.7,26.5,69.1,40.9,72.5,41.4,77,1,23,12.4,23,186,0,25,84.9,158,46.2,86,116.1,32,3,10.2,19,240,114,4.6,9.6,1.52
Josh Jacobs,45953,HB,LV,6,1.4,7,78.1,33.3,1,3,0,0.0,0,10,23,0,85.7,89.2,66.1,54.1,77.1,0.0,0,1,21,24.4,40,164,0,25,72.6,119,4.3,7,80.9,32,0,3.7,6,209,188,7.5,8.4,1.76
Jordan Addison,123000,WR,MIN,6,13.1,2,68.8,50.0,3,6,0,0.0,0,12,18,0,84.5,74.9,64.0,,65.3,0.0,0,1,62,0.0,0,211,0,22,94.8,200,24.2,51,122.0,32,4,75.8,160,277,66,3.0,12.6,1.39
Bijan Robinson,123126,HB,ATL,6,-0.1,6,81.3,33.3,1,3,0,7.1,2,10,2,0,65.0,40.8,73.7,41.0,66.4,0.5,1,1,29,12.0,24,200,1,26,84.0,168,24.0,48,99.1,32,2,13.0,26,189,217,8.3,7.3,1.13
Curtis Samuel,11795,WR,WAS,6,7.4,2,87.1,66.7,4,6,0,0.0,0,13,32,0,86.5,77.3,73.3,61.6,72.4,0.5,1,2,37,0.5,1,204,0,27,91.7,187,72.1,147,99.6,31,2,26.0,53,285,99,3.7,10.6,1.52
Gabe Davis,55410,WR,BUF,6,15.5,3,70.0,71.4,5,7,0,8.7,2,16,4,1,60.3,25.3,70.3,72.0,73.0,0.5,1,2,40,0.9,2,212,0,21,93.4,198,18.4,39,119.6,30,4,80.2,170,341,66,3.1,16.2,1.72
K.J. Osborn,23503,WR,MIN,6,9.5,0,56.7,16.7,1,6,0,19.0,4,11,18,0,30.0,73.6,52.3,73.6,52.1,0.0,0,2,36,0.8,2,253,0,17,93.3,236,43.1,109,73.5,30,2,56.9,144,214,84,4.9,12.6,0.91
D.K. Metcalf,47864,WR,SEA,5,14.7,6,73.3,0.0,0,3,1,4.3,1,18,29,0,60.3,74.9,73.9,,78.4,0.0,0,1,34,0.0,0,175,5,22,91.4,160,17.7,31,118.3,30,2,82.3,144,337,77,3.5,15.3,2.11
Deebo Samuel,48274,WR,SF,6,7.5,10,66.7,33.3,2,6,0,0.0,0,12,28,1,84.1,29.3,76.5,76.9,79.1,0.0,0,0,42,2.0,3,153,1,20,91.5,140,29.4,45,110.7,30,1,64.1,98,302,156,7.8,15.1,2.16
Jerry Jeudy,61103,WR,DEN,5,12.9,5,69.0,50.0,1,2,0,4.8,1,11,10,0,71.3,74.6,65.4,,66.5,0.0,0,1,46,0.0,0,166,0,20,94.6,157,70.5,117,77.1,29,0,27.1,45,222,70,3.5,11.1,1.41
Tyler Higbee,10744,TE,LA,6,7.4,0,69.0,50.0,3,6,0,4.8,1,11,26,0,70.5,74.4,62.8,73.8,61.0,47.0,116,0,33,6.9,17,247,1,20,89.5,221,31.2,77,93.2,29,0,21.9,54,234,83,4.2,11.7,1.06
Hunter Henry,10669,TE,NE,6,9.3,0,64.3,57.1,4,7,0,10.0,2,11,19,0,55.6,73.9,64.8,82.0,67.8,37.4,71,1,21,2.6,5,190,2,18,92.6,176,55.3,105,91.8,28,2,6.8,13,183,43,2.4,10.2,1.04
Jonathan Mingo,97774,WR,CAR,5,10.8,2,53.6,42.9,3,7,0,6.3,1,7,5,0,66.7,73.3,56.6,62.3,56.2,0.0,0,1,22,0.5,1,186,1,15,91.9,171,30.6,57,51.6,28,0,69.4,129,133,33,2.2,8.9,0.78
Tank Dell,78874,WR,HST,5,12.5,2,67.9,50.0,2,4,0,5.0,1,13,13,0,71.5,79.6,77.2,,77.7,0.0,0,0,68,0.0,0,145,0,19,94.5,137,28.3,41,130.7,28,2,71.0,103,324,97,5.1,17.1,2.36
Jahan Dotson,84375,WR,WAS,6,9.9,1,60.7,50.0,1,2,1,10.5,2,7,32,0,55.6,73.9,53.7,,54.6,0.0,0,2,18,0.0,0,249,2,17,91.2,227,43.8,109,55.7,28,1,56.2,140,140,36,2.1,8.2,0.62
Jake Ferguson,61081,TE,DAL,5,4.9,8,74.1,50.0,3,6,0,13.0,3,9,9,0,47.8,74.6,75.9,78.5,70.6,58.9,76,0,21,9.3,12,129,1,20,85.3,110,31.0,40,103.2,27,1,8.5,11,175,101,5.1,8.8,1.59
Darius Slayton,25578,WR,NYG,6,14.6,4,63.0,0.0,0,4,0,0.0,0,11,21,0,82.2,73.6,65.9,,65.7,0.4,1,0,31,0.0,0,228,0,17,95.2,217,32.0,73,91.0,27,0,67.5,154,236,66,3.9,13.9,1.09
Rashee Rice,97605,WR,KC,6,6.3,4,77.8,0.0,0,1,0,4.5,1,13,16,0,71.3,75.0,81.8,,81.0,0.0,0,1,28,0.0,0,93,0,21,95.7,89,62.4,58,113.7,27,2,37.6,35,245,147,7.0,11.7,2.75
Josh Reynolds,11872,WR,DET,6,13.1,3,73.1,80.0,4,5,1,9.5,2,18,11,0,56.9,74.1,81.8,61.6,81.3,0.0,0,0,33,0.6,1,169,2,19,95.9,162,43.2,73,153.5,26,3,56.8,96,341,102,5.4,17.9,2.1
Alexander Mattison,45817,HB,MIN,6,0.7,2,69.2,,0,0,0,21.7,5,3,18,0,29.8,40.8,57.1,54.3,36.0,4.4,8,0,16,24.2,44,182,0,18,70.3,128,1.6,3,102.1,26,2,4.9,9,104,104,5.8,5.8,0.81
Christian McCaffrey,11763,HB,SF,6,0.8,2,88.5,0.0,0,1,0,0.0,0,13,28,1,84.9,51.4,83.1,23.2,88.9,3.8,6,0,19,11.9,19,159,0,23,79.9,127,17.6,28,120.7,26,2,8.8,14,177,169,7.3,7.7,1.39
D'Andre Swift,57212,HB,PHI,6,-0.3,5,88.5,0.0,0,1,0,4.2,1,4,24,1,72.8,64.7,70.4,24.8,52.9,0.0,0,1,11,12.2,18,147,1,23,83.7,123,9.5,14,81.9,26,1,10.2,15,115,137,6.0,5.0,0.93
Alvin Kamara,11822,HB,NO,3,-1.3,5,92.0,,0,0,0,0.0,0,4,20,0,85.3,84.5,70.1,63.9,72.6,0.0,0,0,15,21.6,21,97,0,23,72.2,70,8.2,8,81.0,25,0,4.1,4,86,121,5.3,3.7,1.23
DJ Chark Jr.,47702,WR,CAR,5,14.3,1,52.0,80.0,4,5,0,13.3,2,8,5,0,47.7,72.3,57.7,,58.6,0.0,0,0,47,0.0,0,210,0,13,92.4,194,21.0,44,104.9,25,2,79.0,166,197,41,3.2,15.2,1.02
